DOY2,HR2,WS_1_3_1,T_SONIC,H2O_1_2_2,CO2_1_2_2,W_SIGMA,CO2_SIGMA,USTAR,H,LE,FC,SC,NEE,CO2_2_1_1,CO2_1_7_1,CO2_1_6_1,CO2_1_4_1,CO2_1_3_1,CO2_1_2_1,H2O_2_1_1,H2O_1_7_1,H2O_1_6_1,H2O_1_4_1,H2O_1_3_1,H2O_1_2_1,TA_1_5_2,TA_1_2_1,RH_1_1_1,PA,SW_IN_1_1_1,NETRAD_1_2_1,PPFD_IN_1_2_1,PPFD_IN_2_1_1,WS_1_1_1,TS_1_1_1,TS_1_1_2,TS_2_1_1,TS_2_1_2,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_1_5_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,G_1_1_1,G_2_1_1,G_2_1_2,T_BOLE_1_3_1,T_BOLE_1_2_1,T_BOLE_1_1_1,T_BOLE_2_3_1,T_BOLE_2_2_1,T_BOLE_2_1_1,TA_2_2_1,TA_2_1_1,TA_1_13_1,TA_1_12_1,TA_1_11_1,TA_1_10_1,TA_1_9_1,TA_1_8_1,TA_1_7_1,TA_1_6_1,TA_1_4_1,TA_1_1_1,RH_1_3_1,CO2_1_5_1,H2O_1_5_1,CO2_1_1_1,H2O_1_1_1,RH_1_2_1,PPFD_OUT,SW_IN_1_2_1,SW_IN_1_3_1,SW_OUT,LW_IN,LW_OUT,NETRAD_1_1_1,WS_1_2_1,TA_1_5_1,TA_1_3_1,TS_2_5_1
1,0.25,1.588521955,-10.879775,2.60199620825,378.89649,0.28805,0.1447,0.21969039,-33.1601524375,-1.5879075,0.15172696775,-0.21795334425,0.195670196,394.7485,392.8025,379.3355,377.15,391.235,390.595,0.7497575,0.7258625,2.921725,2.5075,0.7111025,0.6495425,-10.663,-10.60375,77.2089,98.37999975,-2.763225,-33.37325,-0.150605,-0.31987,2.286,0.30326,0.10921,0.10321,-0.35384,0.3325,1.1657,1.9281,3.2324,0.55367,0.92017,1.9764,-3.06453,-2.8904,-2.7894,-9.10035,-9.554585,-9.469375,-9.4866,-9.412025,-8.915225,-11.4,-11.421,-11.331,-11.31,-11.309,-11.347,-11.352,-11.3441,-11.11,-11.089,-10.955,-10.757,75.379175,395.8325,0.5315675,398.7675,0.4239725,76.27925699,-0.26876,-11.796,-1.606,0.181965,225.16,257.504995,-42.46936,2.00425,-11.075,-10.8625,4.2894
1,0.75,1.59298044775,-10.96855,2.61319,378.81319,0.2755,0.14,0.210688754,-31.011438345,-1.812583583,0.16733925,-0.2246167975,0.18289178025,394.302,392.55,379.5025,377.25675,391.11,390.1375,0.7348825,0.7240375,2.94585,2.5375,0.697835,0.66753,-10.57625,-10.5825,77.492975,98.37224875,-2.87245,-30.01125,-0.21467,-0.342817,2.2505,0.29994,0.11208,0.09607,-0.35872,0.34394,1.1626,1.9171,3.2433,0.54418,0.90929,1.9809,-3.06445,-2.8809,-2.7894,-9.1064,-9.706,-9.4866,-9.4866,-9.4866,-8.9481,-11.5,-11.47,-11.3,-11.289,-11.212,-11.242,-11.24,-11.1364,-11.09,-11.0825,-11,-11.019,75.3208754125,396.075,0.538805,398.8575,0.412865,76.870658595,-0.31541,-11.789,-1.5979,0.21751,227.14,257.434995,-37.18854,1.893885,-11.0675,-10.96275,4.2899925
1,1.25,1.59725801125,-11.0951,2.6238170575,378.7465175,0.26794862925,0.13852276275,0.214033738,-31.0672477,-1.7497210965,0.17184125,-0.216758156,0.2499165585,394.215,392.305,379.40225,377.1025,391.23,390.1825,0.7279825,0.72051,2.8925,2.5175,0.690575,0.66902,-10.721,-10.611,77.546775,98.36,-2.84705,-32.6665,-0.15686,-0.31353,2.1319,0.2974225,0.10624,0.09764,-0.35445,0.33065325,1.16275,1.923925,3.2312,0.54439,0.9146,1.982,-3.06834,-2.8662,-2.7895,-9.29185,-9.9511,-9.4866,-9.4866,-9.4866,-9.1490975,-11.648,-11.559,-11.35475,-11.278,-11.2285,-11.30575,-11.36475,-11.219,-11.1855,-11.1325,-11.044,-11.097,75.1713,396.095,0.54204,398.47,0.41061,76.64635,-0.29666,-12.38325,-1.4791,0.2,227.63,257.8075075,-39.08485,1.9305425,-11.12,-11.13,4.28983
1,1.75,1.57734852225,-11.4107,2.57794455,378.7304475,0.271075,0.14418875,0.2167525375,-29.5368844675,-1.687857191,0.148509,-0.22221874,0.2381215665,394.76,392.57,379.63275,377.00075,391,390.135,0.7326525,0.7191375,2.888175,2.435,0.6989325,0.6407625,-10.847,-10.829,77.817725,98.362,-2.76025,-30.03925,-0.19138,-0.343275,2.1411,0.2855825,0.125045,0.0956525,-0.353015,0.3433325,1.162775,1.917325,3.2339,0.54176,0.92602,1.9805,-3.0707,-2.8653,-2.7911,-9.4094,-10.09225,-9.4866,-9.49,-9.49,-9.44895,-11.7075,-11.71315,-11.557,-11.3875,-11.312,-11.3685,-11.3775,-11.34425,-11.23375,-11.23375,-11.145,-11.009,75.6618,396,0.554695,398.89,0.4224625,76.8869748425,-0.3375925,-11.84925,-1.501725,0.17959,227.4075,257.032,-39.51138,1.886125,-11.24,-11.287,4.29
1,2.25,1.62236,-11.4313,2.5674845605,378.731675,0.2717,0.1460775,0.2131015,-31.422334685,-1.38882651725,0.192991703,-0.2431940305,0.18329612575,393.685,391.755,379.4865,377.0725,390.16,389.64,0.92316025,0.9480825,2.911,2.535,0.9703,0.8554,-10.763,-10.696,77.888725,98.377,-2.756625,-32.30825,-0.18123,-0.34096,2.433,0.296445,0.120655,0.093945,-0.3503425,0.34179425,1.163975,1.924375,3.248,0.55607,0.93375,1.98,-3.06981,-2.881,-2.8,-9.5366,-10.30675,-9.49,-9.8685,-9.50625,-9.4866,-11.75375,-11.70775,-11.46475,-11.4825,-11.419,-11.525,-11.462,-11.27,-11.29425,-11.301,-11.161,-11.077,75.5432,395.665,0.67839,400.315,0.55036,77.5505,-0.24272,-11.837,-1.53955,0.190045,229.4425,256.96475,-39.6074,1.948025,-11.32,-11.187,4.285
1,2.75,1.658994857,-11.53755,2.56767,378.8362628,0.2789,0.140734371,0.2167808555,-31.30512789,-1.7025148885,0.237323,-0.23611516075,0.30399797575,394.8,392.255,379.22575,377.07,391.18,390.28,0.6790375,0.6730775,2.9,2.525225,0.6467025,0.61,-10.952,-10.856,77.732,98.37575,-2.80295,-31.9945,-0.19649,-0.3926175,2.3354,0.2896175,0.131055,0.083365,-0.3612125,0.336187,1.162525,1.927375,3.2734825,0.5458975,0.9260425,1.98675,-3.0745625,-2.87695,-2.805025,-9.7007,-10.35,-9.814255,-9.972625,-9.665725,-9.4866,-11.709,-11.69,-11.658,-11.61475,-11.586,-11.638,-11.5625,-11.47375,-11.3975,-11.3535,-11.329,-11.296,75.8749,396.03,0.53886,398.765,0.40881,77.684332805,-0.33239,-11.793,-1.5309,0.18352,228.60275,257.0730025,-37.478,2.0339575,-11.408,-11.28,4.284
1,3.25,1.66598,-11.701875,2.55091427225,378.5367,0.2962,0.143481,0.2338076505,-31.12313642,-1.77717693425,0.19515992875,-0.31667838725,0.18259078675,394.71,391.955,379.60725,377.299,391.07,390.365,0.6727625,0.6595725,2.88,2.48,0.6532425,0.5898675,-11.01875,-10.86775,77.34295,98.367,-2.803925,-35.8205,-0.18296,-0.370765,2.3264,0.28993,0.12862,0.0762825,-0.357485,0.334875,1.1608,1.923575,3.2536,0.5531,0.91677,1.9895,-3.0854,-2.881,-2.8042,-9.7798,-10.3675,-10.202,-10.066,-9.83305,-9.4883,-12.1285,-12.0695,-11.89075,-11.88725,-11.897,-11.87725,-11.75975,-11.62875,-11.63185,-11.61,-11.535,-11.62,75.456161995,395.58,0.53517,398.95,0.41147,78.259559295,-0.329435,-11.00525,-1.5106,0.19,226.159995,257.0405,-38.45,2.0629,-11.64,-11.5,4.284
1,3.75,1.6246238745,-11.68815,2.51602033475,378.0167,0.2799335,0.14707881,0.226946381,-31.85798129,-1.78630669,0.201841555,-0.2531157045,0.225207636,394.89,392.245,379.31575,377,391.295,390.4575,0.67983,0.66922,2.9427,2.445,0.66353,0.580915,-11.1395,-10.908,77.78355,98.36075,-2.75345,-29.024,-0.20127,-0.2241375,2.12445,0.2797725,0.1170525,0.088365,-0.3569325,0.338305,1.161875,1.92465,3.26635,0.5659325,0.9268025,1.9941,-3.087175,-2.873875,-2.802825,-9.768775,-10.48,-10.422,-10.098675,-9.85757,-9.5055,-12.245,-12.2935,-12.2825,-12.09725,-12.00475,-11.89275,-11.818,-11.8005,-11.743,-11.75145,-11.586,-11.652,75.574,395.435,0.5080075,398.905,0.4118725,78.52701646,-0.31017,-11.205,-1.533,0.17,226.195,256.014995,-38.705795,2.04265,-11.7301,-11.5336,4.285
1,4.25,1.5918701095,-11.884175,2.46700185,377.8662191,0.27322525,0.14368383675,0.229871,-29.896125,-1.65353305,0.17225,-0.2390288205,0.251271,394.75,392.08,379.56275,377.2215,390.73,390.0975,0.6724665,0.66411,3.0763,2.5276,0.66157,0.58653,-11.285575,-11.15925,77.0261,98.373,-2.7101,-35.027,-0.14391775,-0.41908,2.0806,0.27739,0.10874,0.0896,-0.38002,0.325667,1.1635,1.9265,3.2435,0.55207,0.92524,1.9837,-3.09086,-2.8646,-2.8025,-9.7375,-10.6705,-10.511,-10.107525,-10.192,-9.65,-12.48,-12.37,-12.35,-12.219,-12.108,-12.074,-11.947,-11.924,-11.932,-11.897,-11.91,-11.762,75.7685755,395.4125,0.500585,398.89,0.42189,77.9674100075,-0.2551975,-11.79,-1.50331,0.1499475,230.115,254.9199925,-34.75807,1.939825,-11.72355,-11.743075,4.28933
1,4.75,1.5449666275,-11.87645,2.4388756785,378.147525,0.2806,0.14068425,0.2269854985,-28.8430051025,-1.588933038,0.1957690585,-0.222778,0.214218995,393.53,391.082,379.364,377.44,390.09,389.255,0.72872,0.73697,2.9542,2.460075,0.72442,0.653,-11.3065,-11.22225,77.27915,98.35625,-2.7865,-30.077,-0.1579125,-0.28684,2.092225,0.27698,0.10887,0.07138,-0.35114,0.32386,1.1604,1.92085,3.244825,0.56015,0.92556,1.9841,-3.0893475,-2.86945,-2.804725,-9.70125,-11.031,-10.75125,-10.261,-10.306,-9.8831,-12.489,-12.56,-12.272,-12.18,-12.23,-12.126,-12.155,-11.994,-12.02,-11.88,-12.117,-12.209,76.012775,395.6125,0.5082875,398.88,0.4154375,77.646275,-0.2981725,-11.006,-1.498525,0.1543375,229.5525,254.0049925,-38.32313,1.95285,-11.758,-11.610875,4.2826
1,5.25,1.5826662815,-12.1116,2.39542452,378,0.28345,0.14,0.22109050825,-30.94408662,-2.04882001875,0.20978,-0.2047642485,0.293768518,391.635,389.98,379.41,377.42,389.395,387.83,0.95933,0.9645375,2.97935,2.435475,0.9796725,0.92694,-11.366,-11.43225,77.06035,98.3465,-2.6937,-29.07,-0.1554925,-0.31741,2.01065,0.2780725,0.1101975,0.06258,-0.3554875,0.321665,1.15805,1.913125,3.248375,0.5546475,0.9312825,1.981975,-3.084775,-2.86215,-2.8054,-9.718525,-11.16325,-10.979,-10.402,-10.621,-10.284,-12.55375,-12.61,-12.2845,-12.24325,-12.26875,-12.2965,-12.17,-12.14125,-12.03375,-11.964,-12.361,-12.136,75.569425,395.295,0.64689,399.745,0.48497,77.9263815525,-0.3449625,-10.80775,-1.49155,0.172625,229.05925,254.17725,-38.352,1.962225,-11.75,-11.63,4.285
1,5.75,1.59127,-12.0657,2.431580272,378.2292,0.278444,0.14795,0.222577821,-31.14838925,-1.8860200155,0.18041434825,-0.21297535375,0.184852771,392.74,391.23,379.6805,377.56,390.0875,389.415,0.746085,0.7511,2.91,2.395975,0.728915,0.696125,-11.5575,-11.54,77.60125,98.3535,-2.6777,-29.9405,-0.172015,-0.32889,2.0959,0.277165,0.102455,0.07042,-0.35013,0.32862,1.15955,1.9172,3.245075,0.5471475,0.9287725,1.974325,-3.0901,-2.862,-2.82783,-10.03175,-11.256,-10.863,-10.557,-10.9195,-10.24325,-12.717025,-12.695,-12.3355,-12.2725,-12.24225,-12.223,-12.227,-12.136,-12.075,-12.0925,-12.309,-12.287,75.718175,395.84,0.4973175,399.415,0.41515,78.48609616,-0.30945,-10.21775,-1.55535,0.154955,227.1700025,254.865,-40.5957,1.979275,-11.9,-11.8,4.2883
1,6.25,1.643402044,-12.1544,2.41542029225,378.603326625,0.2861,0.1414385785,0.236367,-30.795421755,-1.5668709155,0.168688,-0.242862316,0.1937911755,392.7625,391.4575,379.91775,377.6205,389.925,389.5075,0.748905,0.753875,2.83495,2.3637,0.752305,0.7147775,-11.544,-11.432,78.70335,98.37,-2.58825,-24.1005,-0.225213,-0.24279,2.134825,0.287095,0.0974,0.07649,-0.34673,0.33415,1.156,1.9118,3.239065,0.543965,0.930085,1.99265,-3.080515,-2.86335,-2.827965,-10.28125,-11.26,-10.9905,-10.70925,-11.1205,-10.55375,-12.55975,-12.57245,-12.33575,-12.35975,-12.34225,-12.36,-12.23975,-12.13,-12.155,-12.14625,-12.289,-12.32,76.1538,395.72,0.4914775,399.13,0.4068575,78.2571,-0.2951475,-10.224,-1.5077425,0.1643125,226.83,254.915,-35.3,2.036775,-11.9,-11.85,4.27417
