DOY2,HR2,CO2_1_1_1,CO2_2_1_1,H2O_1_1_1,FC_1_1_1,SC_1,SC_2,G_1_1_1,G_1_1_2,H_1_1_1,LE_1_1_1,SH_1_1_1,WS_1_1_1,USTAR_1_1_1,TAU_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,PA_1_1_1,RH_1_1_1,TA_1_1_1,VPD_1_1_1,T_SONIC_1_1_1,TS_1_1_1,TS_1_2_1,NETRAD_1_1_1,PPFD_IN_1_1_1,NEE_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,TAU_1_1_2,CO2_2_2_1,CO2_2_3_1,CO2_2_4_1,CO2_2_5_1,FCH4_1_1_1
1,0.25,414.8317535,414.233333,8.7329405,2.67893925,0.37899,0.2218875,-2.082,-1.58,-9.9626495,14.28850325,2.389994,3.5485905,0.637978,-0.0271545,1.3246815,1.1052595,0.84350925,101.967720975,89.694984,9.51,3.916024096,18.01035875,10.86,10.2825,-17.3781025,0,2.360555,-0.312,1.6615,341.925,365.1,-0.0662965,398.783333,401.1,401.183333,410.65,127.377
1,0.75,414.508233,414.9083335,8.835916,2.293123,0.3725275,0.2117825,-2.292,-1.895,-11.113513,9.84378125,2.336246,3.648075,0.659688,-0.028554,1.31595675,1.098609,0.834792,101.956981,90,9.42,3.791817796,17.7408765,10.86,10.2725,-17.7533225,0,2.247239,-0.3435,1.7395,346.075,364.175,-0.0552135,398.466667,400.95,401.25,410.183333,127.377
1,1.25,414.247911,414.3833335,9.094588,2.062743,0.3683285,0.18022025,-2.296,-2.101,-7.80649125,13.2962675,2.35437575,3.52260275,0.64305375,-0.02882575,1.26727625,1.087176,0.84046425,101.9615,90.475,9.41,3.67107540725,17.786095,10.855,10.2625,-16.3451375,0,2.079597,-0.0795,1.751,346.2,363.3,-0.05223075,398.283333,400.666667,401.666667,409.416667,125.7545
1,1.75,413.854536,413.39583325,9.0280215,1.977052,0.363028,0.163989,-2.399,-2.159,-8.48258975,12.587853,3.223106,3.7626965,0.664351,-0.03893175,1.339473,1.0923815,0.877027,101.970954,90.4,9.16,3.53804525,17.591303,10.84,10.2525,-14.7382175,0,2.122984,0,1.65125,347.075,361.9,-0.0540655,398.483333,399.1,400.766667,406.966667,58.5
1,2.25,414.91949,414.3291665,9.024321,2.276851,0.3652115,0.19422,-2.599,-2.165,-10.9397595,14.17731475,2.1172215,3.61028,0.69141825,-0.034989,1.39830375,1.148145,0.90787875,101.98735175,90.6,9.1,3.6185935,17.5816065,10.825,10.2225,-14.31008,0,2.6625995,0,1.63775,344.05,360.7,-0.07228425,398.566667,399.833333,400.516667,407.316667,48.22625
1,2.75,415.002548,414.72499975,9.00209275,1.9512825,0.37563475,0.18667525,-2.603,-2.345,-10.023002,11.8017255,3.037645,3.6548265,0.689184,-0.0321525,1.354704,1.1498395,0.881127,101.9780392,90.5,9.16,3.58154425,17.36885275,10.805,10.1725,-15.14131,0,1.924286,-0.1625,1.7015,343.85,360.8,-0.070557,397.45,400.233333,401.2,407.533333,37.9525
1,3.25,415.826126,415.5,9.223908,2.0376575,0.342483,0.205485,-2.567,-2.561,-7.970472,13.858011,2.542096,3.712622,0.699117,-0.036117,1.393284,1.1589355,0.899847,101.9669761,90.6,9,3.488257128,17.1600325,10.76,10.14,-15.94077,0,1.845702,0,1.746,346,361.05,-0.08360825,397.866667,400.683333,400.083333,407.516667,16.315
1,3.75,415.2500955,415.55833325,9.213148,1.926423,0.484736,0.2468965,-2.599,-2.568,-9.4088845,13.490252,2.503874,3.7512945,0.716024,-0.03513625,1.4273185,1.18222175,0.913617,101.9399605,90.2,8.89827,3.3835734945,17.082089,10.72,10.1425,-14.45918,0,2.302017,0,1.7285,343.5,359.8,-0.0679195,398.466667,400.416667,401.133333,406.333333,18.052
1,4.25,414.44259,416.033333,9.30252875,1.90812,0.344324,0.200883,-2.879,-2.724,-11.65088825,12.93383575,1.766676,3.599973,0.647927,-0.0343,1.3604945,1.12269975,0.835589,101.94442475,90.3,8.81,3.26871594175,17.298058,10.675,10.1375,-14.32127,0,2.033555,0,1.745,346.65,361.1,-0.08886925,397.95,400.216667,400.65,408,18.602
1,4.75,416.693548,415.44999975,9.269916,1.86881225,0.389608,0.173267,-2.954,-2.842,-11.023313,10.68494675,2.031579,3.574094,0.6428265,-0.042674,1.341282,1.153991,0.8752335,101.9460975,90.3,8.6825,3.2970687935,17.0419085,10.655,10.14,-14.95675,0,2.08365425,-0.03975,1.695,347.45,361.35,-0.09062625,397.033333,398.95,400.9,406.1,24.465
1,5.25,416.251029,415.75833325,9.235869,1.86942,0.366666,0.212157,-3.012,-2.949,-6.95166,12.694329,2.069451,3.675946,0.6489895,-0.035022,1.298326,1.116703,0.8693975,101.959315,90.4,8.7525,3.2302061775,17.20281475,10.645,10.1125,-17.23611,0,2.4817885,-0.0395,1.77,349.6,361.5,-0.079391,397.183333,400.283333,401.95,408.85,70.1
1,5.75,416.354511,416.079167,9.0727945,1.84377575,0.371136,0.182984,-3.198,-2.947,-9.382337,9.10863175,2.702815,3.5964295,0.6300825,-0.03442025,1.2808855,1.0859165,0.83067925,101.986744,90.329854,8.775,3.14949916,17.259315,10.645,10.075,-14.306505,0,2.18462275,0,1.82775,345.5,360.8,-0.06827275,397.683333,398.3,401.233333,408.716667,59.2758333333333
1,6.25,416.054276,415.908333,8.88009325,2.151153,0.409098,0.204495,-3.498,-3.198,-4.712839,10.61543875,2.058528,3.686207,0.668921,-0.0314475,1.275775,1.108133,0.863163,102.025807,90.45,8.795,3.321173242,17.2544105,10.655,10.0025,-16.213745,0,2.06596175,-0.1,1.693,345.5,360.3,-0.0729675,398.166667,398.35,400.516667,406.783333,48.4516666666667
