DOY2,HR2,FC,LE,H,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,G_5_1_1,G_6_1_1,G_7_1_1,G_8_1_1,CO2,H2O,PA,T_SONIC,T_SONIC_SIGMA,TA_1_1_1,TA_1_1_2,TA_1_1_3,RH,PPFD_IN,PPFD_DIF,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,WS
1,0.25,0.115,-0.52,-55.36,-2.165,-2.009,-2.501,-2.76925,-2.9125,-1.5675,-1.866475,-1.5587,376.9,4.134,85.91824,-1.89335,0.141075,-2.60215,-2.9237,-2.7000025,65.0230825,0,0,0,0,231.77,295.23,-71.7375025,-0.0465,0.1165,0.39,0.813,1.5365,2.846,0.141,0.4978125,0.4511,0.1974575,1.443
1,0.75,0.1473475,-0.736785,-57.5595,-2.1915,-1.9965,-2.5175,-2.7635,-2.88825,-1.771925,-2.1710575,-2.420675,377.2,4.128365,85.9040225,-1.951665,0.1487325,-2.51,-3.003,-2.803025,65.84375,0,0,0,0,230.87,294.93333,-72.185,-0.053,0.119,0.3935,0.813,1.534,2.85025,0.15,0.494425,0.4817025,0.196675,1.48165
1,1.25,0.135,-0.775785,-56.135,-2.2105,-1.96975,-2.5295,-2.774,-2.892,-2.0899,-2.6626975,-2.5974,377.6931425,4.14192,85.88754,-1.8563125,0.15437,-2.702425,-2.8757,-2.84625,66.0358325,0,0,0,0,230.8275,295.03,-71.825,-0.053,0.11975,0.39375,0.81275,1.534,2.85,0.1585375,0.501065,0.470335,0.208305,1.515345
1,1.75,0.18,-0.33,-54.53139,-2.20975,-1.98825,-2.5075,-2.7655,-2.88025,-2.090375,-2.6636,-2.598175,377.62035,4.1387075,85.8860375,-1.8671,0.1544025,-2.71,-2.9937,-2.846075,66.21583,0,0,0,0,231.1625,294.94,-71.37975,-0.04475,0.1225,0.3915,0.81025,1.53525,2.849,0.137955,0.5216,0.48155,0.1992,1.38893
1,2.25,0.1816375,-0.56857,-56.03554,-2.22175,-1.95725,-2.50625,-2.76175,-2.8735,-2.0906,-2.6637,-2.598825,377.183515,4.065105,85.865695,-1.819875,0.155,-2.78,-3.0597,-2.9899225,66.038165,0,0,0,0,230.8675,294.9,-71.678,-0.043,0.128,0.39025,0.809,1.53475,2.84775,0.1522,0.4972,0.49049,0.20354,1.41925
1,2.75,0.14298,-0.464,-56.4170975,-2.22025,-2.01975,-2.52525,-2.75025,-2.88025,-2.090675,-2.66375,-2.616375,377.4,4.160575,85.896,-2.0078425,0.1500225,-2.62837,-3.10367,-2.865425,66.846835,0,0,0,0,232.68,294.26,-70.7375025,-0.051,0.126,0.394,0.808,1.53575,2.847,0.15021,0.5173,0.4828,0.206,1.349315
1,3.25,0.185495,-0.694625,-53.794,-2.2235,-2.02,-2.5195,-2.77675,-2.8875,-2.0907,-2.6635975,-2.681075,376.925,4.112,85.890315,-2.07945,0.15058,-2.44335,-3.253,-3.006,68.8325,0,0,0,0,230.61,293.6,-70.62,-0.04975,0.1225,0.39,0.806,1.53475,2.8535,0.14485,0.49102,0.463,0.19486,1.392
1,3.75,0.14,-0.31265,-55.957,-2.22775,-2.01875,-2.525,-2.79125,-2.88525,-2.0906,-2.66375,-2.697425,377.19179,4.10955,85.862325,-2.0536,0.153215,-2.5126925,-3.1817,-2.94575,69.108,0,0,0,0,232.41,293.43333,-70.11475,-0.05425,0.1225,0.386,0.80475,1.535,2.857,0.13833,0.514,0.47513,0.2016,1.344
1,4.25,0.143,-0.57937,-53.769,-2.223,-2.02975,-2.533,-2.7905,-2.901,-2.0906,-2.6639,-2.7889,377.35,4.0934,85.86285,-2.13611,0.14784,-2.68,-3.2213,-3.041675,68.806665,0,0,0,0,230.895,292.87,-69.2175,-0.05675,0.11875,0.384,0.803,1.53525,2.858,0.15,0.512375,0.4923,0.205705,1.431225
1,4.75,0.2,-0.7117675,-51.750285,-2.22575,-2.03725,-2.52475,-2.78425,-2.9055,-2.090675,-2.6639,-2.7892,377.3,4.05295,85.8324075,-2.27155,0.1439,-2.5565975,-3.3427,-3.13275,69.216665,0,0,0,0,233.79,292.6,-68.6575,-0.06275,0.122,0.3875,0.80175,1.535,2.858,0.14,0.4752575,0.48866,0.209295,1.3997
1,5.25,0.16,-0.8199,-52.258,-2.23625,-2.033,-2.52425,-2.77225,-2.89125,-2.090875,-2.6639,-2.714075,377.0923,4.056,85.82488,-2.21095,0.1489,-2.704475,-3.3573,-3.1816,68.406,0,0,0,0,230.89,292.79,-69.5475,-0.067,0.118,0.38475,0.799,1.53,2.859,0.1455975,0.49499,0.491825,0.20206,1.37
1,5.75,0.16919,-0.817,-51.69375,-2.234,-2.02175,-2.52025,-2.774,-2.89725,-2.09095,-2.66395,-2.6985,377.415,4.09433,85.84,-2.1862,0.1623,-2.861675,-3.2305,-3.04515,68.72075,0,0,0,0,230.735,292.8775,-70.67,-0.061,0.11775,0.38375,0.80075,1.52875,2.856,0.147,0.51587,0.5042,0.2061,1.397
1,6.25,0.15,-0.449575,-50.109,-2.24075,-2.01425,-2.51925,-2.797,-2.91525,-2.091625,-2.664,-2.681025,377.3171825,4.0525,85.8607,-2.41615,0.15941,-2.8724125,-3.321075,-3.13665,68.8225,0,0,0,0,230.348335,292.5833325,-70.479165,-0.05825,0.11525,0.38575,0.80025,1.529,2.851,0.1493175,0.510305,0.48073,0.206505,1.353275
