DOY2,HR2,G_1_1_1,G_1_2_1,H,WS,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC,T_SONIC_SIGMA,TAU,RH,TA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN,PPFD_OUT
1,0.25,-4.77825,-4.01275,-48.9847556525,2.28646782975,0.142404647,0.676539744275,0.632034027875,0.200123121475,-8.8248651,0.20752925605,-0.1184019135,48.495,-10.88,-1.90375,-2.478,-0.99325,-4.15475,-65.6675,-3.78825,0.023,193.975,254.175,0,0
1,0.75,-4.7565,-4.04425,-53.04601618,2.640862311,0.161944956,0.7545115214,0.7798448756,0.2420743687,-9.3355378,0.1979898987,-0.111501321,48.015,-11.04,-1.90575,-2.482,-0.9915,-4.1285,-65.7275,-3.89075,-0.016,194.525,252.5,0,0
1,1.25,-4.8235,-4.065,-48.79156166,2.697167622,0.159763385,0.7243781927,0.7145534934,0.2258317958,-9.3950759,0.1915724406,-0.139013775,49.7625,-10.9275,-1.9105,-2.449,-1.0025,-4.167,-63.66,-3.80825,0.063,194.1,252.825,0,0
1,1.75,-4.86025,-4.065,-53.23131192,3.140850118,0.171200141,0.6809554875,0.7008395002,0.2557342371,-9.496542,0.18734994,-0.146336702,49.555,-10.7375,-1.9005,-2.46,-1.01725,-4.1655,-64.585,-3.69625,0.088,197.425,253.575,0,0
1,2.25,-4.8945,-4.06425,-52.874518465,3.4330022665,0.21385377675,0.7835929918,0.775354891225,0.27280230215,-9.03947475,0.213636043525,-0.1257148665,46.885,-10.8675,-1.884,-2.46925,-0.98925,-4.167,-66.4525,-3.815,0.046,194.725,250.125,0,0
1,2.75,-4.94375,-4.07225,-53.44360144,3.152028357,0.195451114,0.738262086775,0.7941838895,0.288663868925,-8.612609925,0.234883412,-0.1189541335,46.73,-11.4225,-1.88575,-2.47075,-1.014,-4.23225,-63.605,-3.704,0.044,194.95,250.4,0,0
1,3.25,-4.99625,-4.0755,-52.83130712,3.30910618,0.176275553,0.7570435985,0.7179456623,0.3078960864,-6.3913365,0.262297541,-0.104926151,46.4225,-11.5225,-1.905,-2.46975,-1.0065,-4.20575,-61.9825,-3.6175,0.019,194.325,251.8,0,0
1,3.75,-5.04025,-4.1185,-60.63337101,3.164841039,0.192775041,0.880389114,0.8159972089,0.3217424871,-8.8391096,0.2513961018,-0.122370533,46.185,-11.2025,-1.89325,-2.46875,-1.00575,-4.2125,-62.865,-3.56875,0.035,193.9,252.45,0,0
1,4.25,-5.1335,-4.1065,-47.088438295,3.2396930175,0.1787815925,0.72189584275,0.734773303,0.28613662055,-7.32672625,0.2181368489,-0.0980952035,46.2625,-10.5625,-1.8905,-2.49025,-1.02275,-4.228,-61.7525,-3.33425,-0.003,196.825,250.575,0,0
1,4.75,-5.18425,-4.114,-48.485177945,3.089541943,0.1873373175,0.73502263625,0.67312066125,0.2286458204,-7.6126677,0.2340939982,-0.09505,46.505,-10.5875,-1.88975,-2.4795,-1.013,-4.222,-64.875,-3.49575,0.03,196.075,250.875,0,0
1,5.25,-5.245,-4.143,-46.333221865,3.302248566,0.1850249295,0.6893819316,0.6333641828,0.2538668176,-7.5417723,0.2645172667,-0.0754,43.87,-10.425,-1.891,-2.4745,-1.0125,-4.22925,-67.01,-3.5315,0.041,198.7,250.95,0,0
1,5.75,-5.3195,-4.147,-45.542504235,3.226473326,0.182582427,0.6998798051,0.67998100645,0.25516055225,-7.99352085,0.2946714753,-0.08775,45.6325,-10.4825,-1.9175,-2.49375,-1.00275,-4.2415,-67.0875,-3.639,0.034,194.5,251.45,0,0
1,6.25,-5.3545,-4.15,-47.40007456,3.40244338,0.1815815705,0.6393010738,0.57053025895,0.25169188745,-8.34745115,0.26180649715,-0.0712,45.7175,-10.9675,-1.897,-2.479,-1.0215,-4.25275,-65.7975,-3.63275,0.053,197.075,251.6,0,0
1,6.75,-5.37075,-4.24375,-45.04914769,3.329785673,0.1552021925,0.5435359732,0.50848483205,0.21793903025,-8.14340195,0.26065437715,-0.06845,44.8775,-11.0375,-1.91325,-2.4715,-1.01125,-4.289,-66.495,-3.36675,0.035,193.85,251.55,0,0
1,7.25,-5.40725,-4.279,-45.93208646,2.942279601,0.161159277,0.60771254945,0.53484748165,0.2340456811,-7.6181234,0.27230471265,-0.09375,42.88,-9.9775,-1.9145,-2.46175,-1.02475,-4.3685,-64.4325,-3.3825,0.052,198.05,252.825,0,0
1,7.75,-5.4215,-4.32575,-43.228231845,3.006299251,0.1731817335,0.60180800335,0.5649134245,0.25000793205,-7.22302375,0.22100759505,-0.0811,43.58,-9.9375,-1.89175,-2.4685,-1.00175,-4.45625,-63.6925,-1.79075,0.7075,199.35,251.8,1.28225,1.4205
1,8.25,-5.43475,-4.35425,-48.307356465,3.298864987,0.2049398195,0.7465410321,0.64248659855,0.3039755421,-6.71713405,0.2036410698,-0.1248265885,44.1025,-9.9675,-1.908,-2.486,-1.01225,-4.4755,-55.25,7.82575,8.195,196,251.8,17.8025,18.33
1,8.75,-5.4515,-4.42775,-41.883069355,3.3670034115,0.17834383,0.65391628725,0.6093999123,0.2343012707,-6.5220642,0.1923522599,-0.102581529,45.415,-9.93,-1.908,-2.48375,-1.00175,-4.51825,-41.575,31.6575,26.78,198.45,254.075,63.38,59.455
1,9.25,-5.4515,-4.4695,-43.491279795,3.52515082825,0.180487906,0.629152219225,0.621293276575,0.242742729875,-7.092502725,0.179994158275,-0.10853936325,43.4475,-9.9025,-1.9075,-2.5055,-1.0245,-4.5245,-28.3,69.76,57.8925,203.325,259.925,138.6,130.275
1,9.75,-5.4765,-4.5525,-47.8472760275,3.95823407675,0.20778121625,0.817623853475,0.760434554725,0.30129316765,-7.236851675,0.20629805325,-0.1006308765,44.175,-9.295,-1.9315,-2.493,-1.0105,-4.56675,-15.7725,96.325,81.27,202.7,262.15,196.8,181.475
1,10.25,-5.46425,-4.576,-38.71165029,4.14651993475,0.219887459,0.7812876358,0.765932680975,0.3154172254,-6.997056175,0.19433762285,-0.13324273375,43.225,-8.9975,-1.89975,-2.476,-1.0005,-4.55725,-1.747,117.475,97.5,202.225,263.325,238.05,221.65
1,10.75,-5.41625,-4.5585,-34.5258630325,3.86526051625,0.209820518,0.773453943925,0.753438420275,0.306221904375,-6.9731832,0.1627069558,-0.0874,43.8675,-8.74,-1.919,-2.486,-1.01475,-4.56225,5.51175,169.025,125.8,203.075,267.025,337.3,304.6
1,11.25,-5.44925,-4.64275,-34.1458178175,3.46196732475,0.19807880625,0.843032685325,0.764755530375,0.304092017925,-7.00917345,0.1555624916,-0.10634860075,43.605,-8.6325,-1.91575,-2.503,-1.01525,-4.522,8.42,185.425,143.6,201.6,269.7,358.125,336.225
1,11.75,-5.3705,-4.5965,-34.3252834425,3.66231027875,0.19830891675,0.72548590665,0.78945476605,0.311089971075,-7.044815425,0.164999529125,-0.111764861,42.6225,-8.5425,-1.905,-2.49325,-1.00575,-4.416,7.132,234.975,182.8,199.9,270.975,478.475,454.75
1,12.25,-5.37025,-4.5215,-31.04082739,3.988064637,0.217776873,0.8464727149,0.8363600176,0.3229416232,-7.1397817,0.1618641406,-0.105499808,41.505,-8.235,-1.92075,-2.50775,-1.024,-4.3285,12.7,241.9,193.8,201.45,272.5,472.375,443.525
1,12.75,-5.3525,-4.44775,-31.97843458,3.886110253,0.206443884,0.8710850492,0.9112025818,0.300499584,-7.0019525,0.1506651917,-0.11434076,41.5975,-7.902,-1.932,-2.48675,-0.99125,-4.20825,9.815,211.875,169.3,200.475,273.15,436.05,388.8
1,13.25,-5.2615,-4.40375,-28.76603791,3.711277974,0.207113438,0.821469938,0.8198123682,0.304466747,-6.6747429,0.1615549442,-0.147843193,41.1675,-7.718,-1.919,-2.49725,-1.00725,-4.15575,5.99675,201.025,160.2,199.775,272.4,401.325,368.95
1,13.75,-5.223,-4.3795,-29.03873722,3.466296853,0.197673773,0.810008403375,0.80589470815,0.3029726469,-6.3643836,0.161109742625,-0.0999194865,39.9775,-7.931,-1.9215,-2.50725,-1.02975,-4.063,5.227,183.7,148.5,202.075,273.275,359.325,343.025
1,14.25,-5.143,-4.3865,-37.46309563,3.442843826,0.202669867,0.8339841186,0.7929164338,0.2861817604,-6.1095696,0.1509966887,-0.126052317,39.07,-8.43,-1.948,-2.503,-1.0395,-4.0565,-0.758,160.7,128.15,203.6,271.55,322.3,290.6
1,14.75,-5.055,-4.3695,-35.9918709675,3.68383054025,0.179450442,0.814271752075,0.80665213155,0.2748273807,-6.3023008,0.12804669765,-0.09555,37.97,-8.68,-1.927,-2.5045,-1.021,-4.0325,-10.025,117.85,97.55,205.4,269.7,243.15,219.05
1,15.25,-4.988,-4.331,-37.72961844,3.80732579,0.206521898,0.8397295684,0.7525261583,0.3135283081,-6.023907,0.153622915,-0.124051729,38.14,-8.73,-1.9185,-2.4795,-1.026,-3.998,-17.295,89.3,73.335,203.9,268.55,180.8,163.25
1,15.75,-4.911,-4.3135,-42.37840938,3.770423075,0.207723334,0.7977667272,0.8302671781,0.3029851482,-6.1343757,0.1878829423,-0.120339639,38.585,-8.855,-1.932,-2.4815,-1.035,-3.983,-24.335,59.735,48.26,202.05,267.05,122.05,110.5
1,16.25,-4.855,-4.238,-46.02927441,3.490475183,0.1863355,0.7875127085,0.8270582736,0.2791057147,-5.9094406,0.1664331698,-0.127454267,38.95,-8.855,-1.9305,-2.4995,-1.0105,-3.981,-37.525,32.715,27.47,203.3,266.05,65.295,60.205
1,16.75,-4.7205,-4.1925,-49.1871967475,3.41222867925,0.18027304625,0.727205272175,0.7100707191,0.275821264925,-6.22835235,0.207005865575,-0.11767550325,40.9,-8.985,-1.9135,-2.4585,-1.0225,-3.976,-55.64,8.785,8.405,207.9,262.55,18.21,19.21
1,17.25,-4.629,-4.1705,-51.0761919325,2.6937731545,0.17164973375,0.675761381275,0.656596764575,0.2293198801,-6.413891225,0.213847393325,-0.15096502225,44.84,-9.12,-1.9395,-2.478,-1.0295,-3.943,-66.19,-2.1565,0.77,201.4,258.05,1.0985,1.2325
1,17.75,-4.5525,-4.134,-55.63835347,3.1384183555,0.138785872,0.585423200925,0.564995400625,0.211935508975,-6.391576025,0.247611558325,-0.1425171035,44.69,-9.17,-1.9305,-2.4765,-1.0175,-3.9305,-67.135,-3.623,0.099,198.9,258.65,0,0
1,18.25,-4.462,-4.072,-58.0222258325,3.20618944675,0.146591705,0.577973666375,0.5690764523,0.201321454,-6.765821075,0.2222580523,-0.13945001025,44.34,-9.2,-1.932,-2.4565,-1.0005,-3.998,-65.525,-3.619,0.012,202.9,257.7,0,0
1,18.75,-4.4275,-4.03,-53.408814625,2.81488052625,0.15365860175,0.675989520675,0.615776535025,0.20499780805,-6.814310875,0.2380119806,-0.13307403525,45.25,-9.245,-1.9135,-2.467,-1.0365,-3.9885,-65.04,-3.689,-0.002,202.3,256.65,0,0
1,19.25,-4.4065,-4.01,-54.1851886725,2.76894981,0.1269912315,0.68509824045,0.601692180125,0.18079974405,-6.5134376,0.2441300848,-0.14358943925,45.785,-9.45,-1.9255,-2.455,-1.0175,-3.985,-66.07,-3.485,-0.0665,197.4,256.75,0,0
1,19.75,-4.407,-4.01,-56.27854226,3.0654194965,0.16625463775,0.669003492225,0.6798095187,0.20856613095,-6.07222885,0.2556337254,-0.121687885,45.425,-9.735,-1.9325,-2.469,-1.0395,-4.007,-67.38,-3.5375,-0.026,204.15,258.9,0,0
1,20.25,-4.405,-4.004,-57.53446767,3.177755909,0.166967445,0.6419481319,0.5123950341,0.2461706725,-6.5612189,0.24,-0.145513994,45.055,-10.11,-1.9165,-2.462,-1.0155,-4.036,-66.425,-3.6765,-0.01,199.95,258.9,0,0
1,20.75,-4.407,-3.955,-53.26188076,3.234535673,0.170795035,0.57014624,0.6162271773,0.2773084925,-6.4644479,0.240208243,-0.126920877,44.525,-10.585,-1.9325,-2.443,-1.0365,-4.0525,-67.04,-3.654,-0.0545,200.65,258.55,0,0
1,21.25,-4.408,-3.9295,-53.6738942975,3.2472060935,0.19252004725,0.587133293025,0.535617276675,0.232961700075,-8.09309565,0.242548233025,-0.12835025975,42.345,-10.49,-1.9085,-2.48,-1.038,-4.097,-66.555,-3.702,-0.038,203.8,258.55,0,0
1,21.75,-4.4575,-3.9005,-60.97137941,2.561954636,0.141691692,0.6618646546,0.5314354109,0.1907878403,-8.1447508,0.2406241883,-0.115501986,41.445,-10.29,-1.9185,-2.455,-1.011,-4.069,-66.385,-3.573,0.02,204.05,258,0,0
1,22.25,-4.454,-3.9005,-57.44074424,3.4119762595,0.186725179,0.69031077085,0.6631241012,0.26573364525,-8.39662505,0.2332379773,-0.129856165,42.375,-10.435,-1.918,-2.4655,-1.026,-4.0695,-64.215,-3.468,-0.01,206.1,256.75,0,0
1,22.75,-4.4785,-3.9005,-58.11203159,3.330054141,0.206982027,0.7016612445,0.79686488,0.3148015248,-8.3349158,0.1977371993,-0.102521174,43.86,-10.44,-1.9185,-2.464,-1.0225,-4.049,-69.97,-3.6935,0.01,203.35,257.25,0,0
1,23.25,-4.528,-3.901,-50.67484531,3.229587621,0.204566536,0.6977512014,0.7160220192,0.2475883681,-8.8316923,0.2297825059,-0.149176663,47.03,-10.56,-1.9045,-2.455,-1.043,-4.0925,-67.455,-3.6185,0.026,200.25,257.95,0,0
1,23.75,-4.5615,-3.901,-50.12799403,2.778888213,0.129128302,0.6579019334,0.5930521528,0.2165640783,-8.8272085,0.2022374842,-0.120899925,49.98,-10.97,-1.91,-2.4585,-1.0245,-4.0655,-67.5,-3.6675,-0.048,202.5,258.15,0,0
2,0.25,-2.43925,-2.085,-40.28225026,2.468795163,0.1384576975,0.5606878739,0.72513325485,0.1793935052,-12.7603883,0.11885535565,-0.123278856,66.4475,-13.935,-0.756,-1.13425,-0.45975,-2.12875,-50.665,-3.23675,-0.064,220.725,248.8,0,0
2,0.75,-2.40025,-2.085,-38.45860972,2.122111063,0.153097616,0.6126229349,0.53873613525,0.18022952885,-12.5009077,0.1663629476,-0.137800433,65.3825,-13.985,-0.76175,-1.11425,-0.42875,-2.134,-45.795,-3.0675,-0.004,222.15,249.675,0,0
2,1.25,-2.36125,-2.08725,-28.1910511,2.288716598,0.129223677,0.6394073037,0.5868713922,0.1769180601,-13.0107056,0.1542724862,-0.144960408,64.69,-14.2375,-0.766,-1.117,-0.43325,-2.11,-44.1525,-3.229,-0.083,221.85,246.45,0,0
2,1.75,-2.3565,-2.09625,-32.47452845,2.310554691,0.157734214,0.61581922895,0.6188084829,0.2059257524,-12.4592387,0.1606225775,-0.1135476085,68.2,-14.4375,-0.76075,-1.1285,-0.45975,-2.10725,-46.76,-3.15325,-0.01,223.375,245.65,0,0
2,2.25,-2.33825,-2.12025,-24.6888835375,3.061628424,0.1767086155,0.713632058425,0.598048667275,0.229047042175,-13.720427625,0.189010268675,-0.108639997,69.535,-14.1625,-0.77875,-1.12175,-0.44825,-2.13925,-38.675,-3.16525,-0.05325,221.9,246.1,0,0
2,2.75,-2.3395,-2.1615,-27.52625924,3.236965338,0.206037345,0.7825856784,0.762678385,0.264952826,-13.2989092,0.2024845673,-0.107137114,65.81,-14.165,-0.76475,-1.1255,-0.456,-2.12975,-37.945,-3.0545,-0.045,219.5,248.6,0,0
2,3.25,-2.3385,-2.166,-31.45126242,3.280257815,0.203088323,0.7567496594,0.7497338094,0.2668332813,-12.2165198,0.178605711,-0.117249317,65.2575,-14.0125,-0.76475,-1.1085,-0.4455,-2.1135,-35.245,-2.84525,-0.032,218.8,248.4,0,0
2,3.75,-2.38575,-2.1225,-34.69173508,2.5449496305,0.16452098125,0.659624578275,0.6100698565,0.2393794855,-11.56042905,0.156296378075,-0.10945000675,68.1175,-14.33,-0.77275,-1.12325,-0.461,-2.1155,-34.48,-2.83325,-0.07725,213.45,246.4,0,0
2,4.25,-2.41425,-2.085,-32.40451848,2.614510647,0.163641633,0.627219747425,0.66090369255,0.2223386604,-10.861726025,0.1708307771,-0.136995565,66.99,-14.2025,-0.78425,-1.11675,-0.433,-2.11,-35.11,-2.736,-0.013,217.825,246.475,0,0
2,4.75,-2.41425,-2.086,-51.81450231,3.36124515025,0.1780649835,0.664576753625,0.722247224475,0.264857773625,-10.66265745,0.167234764675,-0.187921704,66.5375,-14.1225,-0.784,-1.1335,-0.4445,-2.0995,-31.8175,-2.76325,0.013,223.425,246.825,0,0
2,5.25,-2.41425,-2.07425,-29.390958525,3.4896463315,0.201434324,0.87224768715,0.9687819984,0.2952934375,-11.8810735,0.16217245435,-0.137841774,66.425,-14.125,-0.763,-1.13725,-0.43075,-2.105,-31.5725,-2.817,0.015,222.075,248.475,0,0
