DOY2,HR2,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_2_3_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_IN_1_1_3,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_5_1_1,NETRAD,H2O_1_1_1,H2O_1_1_2,H2O_1_1_3,H2O_1_2_2,H2O_1_2_3,H2O_1_3_2,H2O_1_3_3,H2O_1_4_2,H2O_1_4_3,H2O_1_5_2,H2O_1_5_3,CO2_1_1_1,CO2_1_1_2,CO2_1_1_3,CO2_1_2_2,CO2_1_2_3,CO2_1_3_2,CO2_1_3_3,CO2_1_4_2,CO2_1_4_3,CO2_1_5_2,CO2_1_5_3,CH4_1_1_1,CH4_1_3_1,CH4_1_5_1
1,0.25,0.988737602927591,-24.8487855377764,0.270498007096953,-0.197180591762583,-0.0736108168061073,-0.273041363768656,-0.366061348445267,-1.46652264005986,0.0940262430980126,-30.6387859920443,-7.56254234006922,0.294839234573631,0.72,0.45,0.26,0.13,-26.211425,-25.88375,-25.8382,-25.7162,-28.43995,-30.95655,97.37546,72.4475,0.1824,-24.32,-24.725,-24.11,-9.9675,0.1,-3.145,0.7,-1.03,-1.375,189.825,203.225,251.075,251.35,0.1,-0.135,-0.03,0.01,-0.03,0.07,-0.03,-0.03,-0.14,-7.6295,-6.96425,-3.9295,-2.50125,-0.9645,0.167,0.108,-0.038,-0.0365,-14.1855,-13.191,-8.3585,-5.0315,-2.13,-0.7995,-0.04825,-0.066,0.13875,-12.39325,-10.8335,-6.76,-2.94,-0.9995,-0.054,-0.00825,-0.05025,-0.07425,-10.58275,-9.8945,-7.64425,-5.36,-3.4915,-2.31,-1.124,-0.57325,-0.82275,-9.26175,-8.702,-5.47025,-0.90475,-2.67275,-1.258,-0.01875,-0.078,-0.13,-12.444,-4.5735,-33.2,0.54572227365452,0.550369224002917,0.871231333043965,0.508602580686651,0.756071449655494,0.650614403373566,0.758601799300307,0.701904336362467,1.18000007323266,0.506651882211168,0.701654988150955,418.767417272669,416.665683341304,421.490528733188,420.37662077445,421.546929391738,417.622656818952,422.328009770991,418.832191305957,416.671704973058,421.410834075506,423.426906811128,1979.40620767588,1981.082297371,1998.21401254016
1,0.75,0.909353279252096,-24.5771278751868,0.287195819811651,-0.219160184937745,-0.131495831903637,0.0334001109391416,0.18713693960808,-2.47490555585446,0.0833860946016942,-26.7850064593997,-7.1859930918462,0.298577409808924,0.63,0.45,0.26,0.13,-26.07345,-25.6535,-26.06205,-26.0312,-28.49855,-30.64945,97.3949,72.65,0.1844,-24.1275,-24.605,-24.0325,-10.13,0.1,-3.24,0.5,-1.04,-1.47,189.75,203.25,250.55,251.1,0.1,-0.12,-0.0825,0.01,-0.03,0.08,-0.03,-0.03,-0.14,-7.696,-6.997,-3.9845,-2.5015,-0.9665,0.166,0.108,-0.038,-0.03675,-14.31,-13.1705,-8.457,-5.041,-2.12975,-0.80025,-0.04925,-0.0645,0.13875,-12.424,-10.9025,-6.8115,-2.945,-0.9955,-0.064,-0.0085,-0.0505,-0.0745,-10.5975,-9.90325,-7.647,-5.3485,-3.49225,-2.3145,-1.1395,-0.575,-0.752,-9.2865,-8.5905,-5.4225,-0.908,-2.6795,-1.25825,-0.02,-0.0785,-0.13,-14.3845,-5.034,-33.545,0.550174553818757,0.632875164391206,0.770192878571391,0.579942007082779,0.584364152178477,0.660575740547524,0.880536166858048,0.710191211703113,0.98518812503754,0.543158376073894,0.738474642023216,418.73514049986,416.581316975075,421.639228308762,420.325759055728,422.044745104974,417.939386912607,421.97327771949,418.962978048715,415.734954262749,421.246691473997,422.482164480609,1980.80732001213,1980.3496493705,1998.08864973881
1,1.25,1.00010278378463,-24.963335190058,0.283916469518225,-0.152391257356762,-0.23195937604273,-0.204126135520841,-0.273247367154598,-1.06191843740453,0.0778895484401801,-31.7366391147749,-6.92436844010155,0.298660469359021,0.7325,0.48,0.25,0.1375,-26.246,-25.7175,-26.326975,-26.4335,-28.5134,-30.392925,97.3912,72.69,0.176575,-24.47,-24.7675,-24.3275,-10.045,0.1,-3.1175,0.6,-1.025,-1.4475,191.225,203.4,250.925,251.475,0.1,-0.135,-0.04,0.01,-0.03,0.08,-0.03,-0.03,-0.15,-7.771,-6.97425,-3.93825,-2.4985,-0.9675,0.167,0.108,-0.038,-0.03675,-14.2045,-13.167,-8.44475,-5.024,-2.13,-0.80125,-0.051,-0.0645,0.138,-12.4135,-10.9945,-6.827,-2.955,-1.004,-0.07075,-0.00825,-0.05,-0.0745,-10.589,-9.952,-7.64225,-5.3305,-3.496,-2.318,-1.141,-0.5775,-0.8275,-9.28175,-8.65075,-5.45125,-0.91125,-2.68725,-1.25925,-0.02125,-0.07825,-0.13,-13.29425,-4.99425,-33.49,0.541052886483371,0.577552094216317,0.809464316862488,0.637192767232698,0.6928261181264,0.681509487381271,0.908934333102369,0.849050867265804,0.814655455159895,0.652384601847869,0.738875047440332,418.599421363971,415.499289651726,420.234108756203,421.26996716435,420.173724924818,419.030301102291,420.71202823277,419.936965436522,416.407555027599,420.665777531962,422.341886650388,1978.7545887296,1983.37470745793,1999.13777333799
1,1.75,0.939951963858464,-25.3838457240803,0.291038952080209,-0.299915417745021,-0.076557812223184,-0.0620582052361634,-0.374667799360159,-0.597672170189283,0.0983281902529809,-39.6987351639718,-5.7653403973525,0.301848444480212,0.6575,0.48,0.265,0.12,-26.493975,-26.03775,-26.459825,-26.605425,-28.45315,-29.941875,97.3917275,73.145,0.173325,-24.71,-24.9225,-24.1775,-9.915,0.1,-3.285,0.6,-1.02,-1.4025,191.925,203.5,251.35,251.95,0.1,-0.125,-0.035,0.01,-0.03,0.07,-0.03,-0.03,-0.14,-7.79275,-6.94725,-3.93925,-2.496,-0.96625,0.166,0.108,-0.03775,-0.037,-14.25675,-13.19425,-8.46175,-5.0065,-2.12975,-0.8025,-0.05225,-0.0645,0.13875,-12.40275,-10.98475,-6.8385,-2.94975,-1.0065,-0.0665,-0.009,-0.05025,-0.07425,-10.6005,-9.97975,-7.62925,-5.31775,-3.5005,-2.32225,-1.1415,-0.57925,-0.82875,-9.26325,-8.6185,-5.48925,-0.915,-2.69425,-1.26025,-0.02325,-0.07825,-0.13,-14.488,-4.99275,-32.5475,0.544510261264017,0.550979547931939,0.94434812901306,0.540061146771082,0.639317601091811,0.661758148073958,0.934444496816059,0.746022719430357,0.922745218384875,0.661669921454251,0.830589299588147,419.13073847193,416.107149991903,418.533342703438,421.406863426708,421.445468847226,417.979673735655,420.899675199914,418.066270156928,415.880864497724,421.031423920409,422.164325511596,1988.45247453049,1990.08178793877,1999.82245374594
1,2.25,1.08163504043385,-25.3204669943543,0.265812552411512,-0.101411452540646,-0.230939493924599,-0.12719177425236,-0.181820351785753,-0.544797742271455,0.084925457168043,-41.7800244160553,-4.33794799453149,0.293482172501193,0.68,0.49,0.275,0.12,-26.519125,-25.962,-26.240675,-26.61035,-28.7593,-30.120175,97.3847875,72.7475,0.171925,-24.34,-25.085,-24.205,-9.935,0.1,-2.9625,0.6,-0.9525,-1.3675,192.15,205.375,250.725,251.6,0.1,-0.155,-0.025,0.01,-0.03,0.07,-0.03,-0.03,-0.14,-7.8195,-6.947,-3.95825,-2.4885,-0.964,0.166,0.1085,-0.038,-0.0375,-14.3065,-13.16625,-8.46,-4.98275,-2.13,-0.80275,-0.0525,-0.0645,0.1385,-12.40475,-10.9645,-6.833,-2.949,-1.00975,-0.061,-0.00825,-0.05,-0.0745,-10.5605,-10.0135,-7.622,-5.3155,-3.505,-2.32575,-1.143,-0.58175,-0.881,-9.2175,-8.6425,-5.50725,-0.918,-2.70175,-1.2615,-0.0615,-0.07825,-0.13,-13.879,-5.00125,-28.91,0.522930454522611,0.518614955608975,0.762499999764477,0.514906492671086,0.560967766036165,0.651566953580298,0.841601059938037,0.721380260328145,0.97182895123048,0.5285277468861,0.707964907100441,418.969840318518,416.659945473681,421.712944671876,421.822841714432,422.08780976062,419.073616376501,421.786666970077,418.919195888246,417.226597420527,421.526525681681,423.81152791456,1985.76934678623,1985.53488278427,1997.33269683098
1,2.75,1.06850786800351,-25.4965286854903,0.292728721366539,-0.116468521596992,-0.299857106292423,0.0423645701593837,0.289776677052221,-0.477081665295376,0.0819796577406839,-39.6227635028982,-5.03974472253647,0.295531923997432,0.7,0.47,0.27,0.12,-26.045,-26.01825,-26.1266,-26.162225,-28.1677,-30.07545,97.37279,72.7925,0.18305,-24.18,-24.645,-24.18,-10.0775,0.1,-3.035,0.6,-1,-1.3125,192.45,205.125,250.65,251.5,0.1,-0.15,-0.035,0.01,-0.03,0.075,-0.03,-0.03,-0.14,-7.83175,-6.9815,-4.02025,-2.4705,-0.96275,0.166,0.108,-0.038,-0.03725,-14.42525,-13.23475,-8.46725,-4.99275,-2.1305,-0.80375,-0.05425,-0.0645,0.138,-12.41875,-10.96775,-6.77075,-2.9245,-1.0115,-0.04325,-0.00825,-0.05,-0.07425,-10.50725,-10.03225,-7.61475,-5.3135,-3.50825,-2.33025,-1.1445,-0.5835,-0.88225,-9.158,-8.57625,-5.5205,-0.9215,-2.70975,-1.26175,-0.0625,-0.07825,-0.13025,-14.277,-5.20375,-30.6675,0.536714053017995,0.523657344506521,0.870480320417814,0.538801283107211,0.76679249861939,0.591308884499058,0.839821743418397,0.709874781831453,0.937745810298886,0.656403346533813,0.717119073633814,418.943707595392,416.763706387993,419.36180856711,421.447955147127,420.153298433577,418.744720946029,422.057846798538,419.219614400048,417.63297639315,421.147917861675,422.50666187948,1985.15265580727,1984.25651843247,1998.83315398614
1,3.25,1.00547852736773,-24.8686110386962,0.284545261380974,-0.274081932178797,-0.0560181591275736,0.100356057484823,-0.259536835987092,-1.03152171756821,0.0895860939067915,-46.9494614297595,-6.29574557338575,0.302794856450027,0.77,0.4925,0.27,0.13,-26.093075,-25.91325,-26.14,-26.56155,-28.347,-29.59715,97.35217,73.015,0.1849,-24.08,-24.4,-23.7675,-10.0875,0.1,-3.125,0.6,-0.9825,-1.3625,191.7,205.2,250.375,250.9,0.1,-0.155,-0.03,0.01,-0.03,0.07,-0.03,-0.03,-0.1425,-7.84125,-7.0035,-4.0155,-2.46225,-0.96125,0.166,0.1085,-0.038,-0.037,-14.446,-13.29075,-8.47275,-5.02,-2.13125,-0.80475,-0.0555,-0.0645,0.13875,-12.37375,-10.95725,-6.76125,-2.91225,-1.014,-0.0415,-0.009,-0.05025,-0.0745,-10.4635,-10.04375,-7.62325,-5.3105,-3.50825,-2.33375,-1.146,-0.59775,-0.91,-9.132,-8.51175,-5.52475,-0.92675,-2.71625,-1.263,-0.06425,-0.07825,-0.13025,-12.364,-5.02525,-31.71,0.552105887406626,0.555405293787575,0.691133793292367,0.552019099378881,0.563560741610471,0.589569679065073,0.679368734960146,0.656318242687685,0.873640432543784,0.602186310814181,0.700000035619586,419.134675502254,415.972669476026,422.084143223929,420.599567785627,422.666831557437,417.370254936306,422.194457637642,419.474778992338,417.952912934827,420.752040149197,422.955888759586,1982.99282038433,1985.82235515643,1996.19440194647
1,3.75,0.941724126794171,-24.7310099506123,0.28434303056181,-0.271384534797753,-0.142745444530283,-0.712030019666489,-0.0338396040011111,-0.525236710882901,0.0916704758734277,-35.133369120763,-6.00892155158857,0.313734422681776,0.72,0.44,0.25,0.12,-26.0972,-25.99475,-26.4729,-27.15695,-28.5016,-29.77,97.31009,72.9875,0.1798,-24.24,-24.295,-24.03,-10.13,0.1,-3.1375,0.6,-1.0025,-1.3925,191.075,203.75,250.15,251.075,0.1,-0.16,-0.035,0.01,-0.03,0.07,-0.03,-0.03,-0.1425,-7.828,-6.96225,-3.9765,-2.453,-0.9665,0.166,0.108,-0.038,-0.037,-14.37775,-13.33325,-8.42525,-5.048,-2.13175,-0.80575,-0.05625,-0.0645,0.139,-12.36075,-10.951,-6.748,-2.919,-1.01875,-0.0415,-0.008,-0.051,-0.07425,-10.40375,-10.066,-7.64,-5.30825,-3.509,-2.338,-1.13175,-0.6075,-0.88675,-9.14125,-8.472,-5.52775,-0.93375,-2.71775,-1.2635,-0.02875,-0.07825,-0.13025,-13.993,-5.44175,-33.55,0.52029981551555,0.516957979965345,0.684038770507838,0.55284757917499,0.553861818197393,0.584118020897161,0.678696301124405,0.664836008632097,0.824839950893604,0.571431226753386,0.588435242696241,418.995880913297,416.030194634026,419.739712873685,420.298495580712,421.707292100691,418.249245561791,419.858809027591,418.802756147023,419.21111784324,420.821480764854,422.409064293668,1984.30540704559,1984.61355368045,1996.75961652343
1,4.25,0.90664007165397,-24.4647422998822,0.275149851356062,-0.254126447889101,-0.19511906003986,-0.370749168734822,0.178376415014739,-0.855113168729927,0.0793484962206342,-31.4654278429866,-1.7634773690018,0.292017783371869,0.64,0.5,0.27,0.14,-26.0984,-25.821,-26.46205,-27.25265,-28.437225,-30.10425,97.3110875,73.06,0.1814,-24.17,-24.3425,-23.78,-10.175,0.2,-3.2525,0.7,-0.9825,-1.455,190.275,205.15,250.15,250.975,0.0975,-0.155,-0.04,0.01,-0.03,0.07,-0.03,-0.03,-0.1425,-7.77075,-7.0125,-3.969,-2.44825,-0.97125,0.166,0.108,-0.038,-0.03675,-14.31375,-13.3415,-8.37075,-5.0665,-2.1325,-0.80675,-0.0575,-0.0645,0.139,-12.381,-11.1195,-6.7325,-2.931,-1.02075,-0.0515,-0.008,-0.05,-0.07525,-10.338,-10.08975,-7.635,-5.30525,-3.50925,-2.3415,-1.13225,-0.61575,-0.863,-9.133,-8.5065,-5.52675,-0.935,-2.719,-1.26425,-0.03075,-0.07825,-0.1305,-13.70275,-5.709,-31.775,0.521284841617698,0.599965162873496,0.833095271274311,0.539831201679911,0.626801132818079,0.612065943016841,0.761052717132694,0.714195484649895,0.897633436548311,0.507040503767008,0.707333383183594,418.843492862982,415.655671215465,420.186995479706,419.252593465989,422.212180402751,419.019684469702,420.189926559295,417.861246931109,417.941266894523,421.372661620275,422.545977557904,1981.71562711368,1986.22539319277,1994.84931691695
1,4.75,1.11392906374097,-24.9140022591061,0.281403439104474,-0.235745969353299,-0.145178542094563,-0.28929903594493,-0.128683750939143,-1.07837091490195,0.0861532768398504,-26.979382842331,-4.33120501658012,0.32278360130824,0.72,0.4725,0.27,0.13,-26.3142,-26.1115,-26.770225,-26.885925,-28.352775,-30.6017,97.308125,73.0925,0.17845,-24.68,-24.75,-23.99,-10.1825,0.2,-3.1725,0.7,-1,-1.345,190.5,205.55,250.25,251,0.1,-0.155,-0.03,0.01,-0.03,0.0775,-0.03,-0.03,-0.14,-7.694,-7.05225,-4.012,-2.4405,-0.97775,0.166,0.108,-0.038,-0.037,-14.26775,-13.28075,-8.372,-5.078,-2.133,-0.807,-0.0585,-0.0645,0.139,-12.4,-11.1185,-6.728,-2.942,-1.021,-0.03725,-0.008,-0.05025,-0.075,-10.341,-10.08275,-7.6285,-5.30225,-3.5115,-2.346,-1.13325,-0.6105,-0.916,-9.086,-8.47525,-5.51075,-0.93325,-2.7195,-1.26475,-0.03125,-0.07825,-0.1295,-13.4455,-5.54325,-30.675,0.520182732057997,0.58663408210049,0.766722381090113,0.592563791446376,0.476916727651803,0.622539644473673,0.680740832802609,0.683479165698968,0.831864403237263,0.592356950503246,0.673357956374817,418.235613494278,415.600566882771,419.737694366128,420.137377191283,422.112634731824,418.471721070112,419.663331253849,418.483543248343,417.155265271435,420.595048601103,422.464235302267,1981.64954531344,1982.53852234879,1996.87315225748
1,5.25,1.01598050924927,-25.5889934520754,0.306435113327968,-0.351944289118883,-0.102416308418957,-0.447809263544907,0.321110871592445,-0.224782423239752,0.0851017692196989,-44.6273675808688,-8.11680590858957,0.283789380745527,0.66,0.46,0.26,0.13,-26.497275,-26.417,-26.5888,-26.653375,-28.8118,-30.8548,97.28788,73.04,0.1773,-24.525,-25.09,-24.1975,-10.12,0.1,-2.92,0.6,-0.99,-1.38,191,204.4,250.1,250.8,0.1,-0.195,0.015,0.01,-0.03,0.07,-0.03,-0.03,-0.14,-7.66725,-7.056,-4.034,-2.43,-0.98225,0.166,0.108,-0.038,-0.037,-14.228,-13.1,-8.332,-5.071,-2.13375,-0.808,-0.0595,-0.0645,0.139,-12.4275,-11.089,-6.73575,-2.9275,-1.01825,-0.047,-0.008,-0.051,-0.074,-10.323,-10.06775,-7.624,-5.305,-3.51325,-2.3495,-1.16925,-0.60625,-0.992,-9.027,-8.416,-5.533,-0.93175,-2.71925,-1.26575,-0.03325,-0.07825,-0.12975,-13.72675,-5.5725,-30.99,0.525021067149163,0.562669559843326,0.881296446655016,0.532180300846274,0.756868740334968,0.609044361281083,0.738517190117166,0.683499036636705,0.802500020452268,0.544722525617251,0.683392906948238,418.27621932945,415.938141558036,420.536777076447,420.111946531804,422.284611767599,418.160041141062,421.903057883952,418.254852973791,417.953868636589,421.212148473241,422.597058386525,1981.28112517247,1983.95348332358,1998.24352141467
1,5.75,1.06341103303815,-25.7979621160015,0.283967245393548,-0.329357092995302,-0.0985051167872403,-0.172723966012762,0.465129026595014,-1.00865422325381,0.0853935511250521,-28.3809916974935,-6.06879011653386,0.282145855460677,0.67,0.49,0.27,0.13,-26.1108,-25.83,-25.942,-26.191125,-29.2889,-30.9383,97.2494975,72.71,0.1788,-24.4875,-25.01,-24.2275,-10.11,0.1,-3.23,0.5,-0.99,-1.39,188.1,203.3,250.3,250.9,0.1,-0.1675,0.0175,0.01,-0.03,0.07,-0.03,-0.03,-0.14,-7.658,-6.948,-3.984,-2.417,-0.98675,0.166,0.108,-0.038,-0.037,-14.225,-12.923,-8.372,-5.035,-2.1345,-0.809,-0.06125,-0.0645,0.139,-12.492,-11.037,-6.75575,-2.94025,-1.016,-0.04,-0.008,-0.051,-0.075,-10.369,-10.0785,-7.668,-5.318,-3.51575,-2.354,-1.17125,-0.601,-0.99425,-8.968,-8.391,-5.558,-0.9325,-2.71625,-1.267,-0.0345,-0.07825,-0.1305,-12.924,-5.8225,-31.15,0.544466497614626,0.542638072900128,0.859736119633425,0.511292794300561,0.59857207017911,0.675361819996333,0.797633108087883,0.657408028709669,0.962216617643254,0.494299312090168,0.788543630815016,418.195081242429,415.300964908506,420.308518357692,421.340592337083,422.238600699979,417.505164060707,419.819036051292,418.32537112733,416.909734766463,420.294312814926,422.336147288642,1982.29905292922,1984.37755580658,1995.16757592454
1,6.25,0.929761834881642,-25.3959179145891,0.281754774575864,-0.294383361203742,-0.162462547118943,-0.295215603749063,0.20844556610202,-0.247580757116308,0.0876770695287938,-31.8558886403566,-7.56696712545473,0.320559001004283,0.66,0.46,0.26,0.12,-26.47655,-26.134,-25.6839,-26.31065,-29.05235,-30.7998,97.2407725,72.4,0.182,-24.51,-25.105,-24.3125,-10.12,0.1,-3.11,0.6,-1.01,-1.42,188.5,204.9,250.8,251.1,0.09,-0.16,0.0175,0.01,-0.03,0.07,-0.03,-0.03,-0.14,-7.689,-6.828,-3.944,-2.408,-0.99,0.166,0.10875,-0.038,-0.037,-14.219,-12.775,-8.381,-5.001,-2.136,-0.81,-0.0625,-0.0645,0.139,-12.566,-11.105,-6.7815,-2.9395,-1.021,-0.04425,-0.008,-0.05,-0.074,-10.316,-10.069,-7.713,-5.336,-3.51825,-2.3585,-1.188,-0.604,-0.922,-8.928,-8.372,-5.567,-0.933,-2.715,-1.2675,-0.0355,-0.07825,-0.1295,-13.0745,-5.6375,-28.86,0.524595875913514,0.532455742311284,0.854447403066732,0.518642665686145,0.59497794851685,0.587105585399943,0.814708351835934,0.675708592912074,0.786366031818004,0.524426340785473,0.670809431610617,418.373125080804,415.679955133573,420.039283447077,420.496048118676,420.949460318696,417.755232411363,420.002905990052,418.623674446368,418.274055485362,420.334294256003,421.585159581979,1981.74153060434,1982.90899704773,1998.33075618299
1,6.75,0.887505726473528,-25.2926264015921,0.277782404378154,-0.302129087727138,-0.227814910101467,-0.385208942491431,0.364461769750757,-0.131446759987833,0.0850534901493294,-34.9998582318983,-6.0091914212218,0.334944457472332,0.7325,0.48,0.26,0.1225,-26.60665,-26.415,-25.8536,-26.435775,-28.9515,-30.3884,97.22108,72.87,0.17555,-24.4975,-24.75,-24.28,-10.14,0.2,-3.1825,0.6,-1,-1.45,188,201.3,251,251.3,0.1,-0.165,0.02,0.01,-0.02,0.07,-0.03,-0.03,-0.15,-7.743,-6.995,-3.909,-2.4,-0.9915,0.166,0.108,-0.038,-0.0365,-14.218,-12.756,-8.376,-4.967,-2.13325,-0.81025,-0.0635,-0.0645,0.139,-12.581,-11.097,-6.815,-2.94375,-1.021,-0.0365,-0.008,-0.051,-0.074,-10.266,-10.04925,-7.702,-5.355,-3.52025,-2.362,-1.17675,-0.607,-0.924,-8.911,-8.388,-5.542,-0.933,-2.71325,-1.2685,-0.0375,-0.07825,-0.13025,-12.0285,-5.083,-31.75,0.52207394019977,0.519574776174976,0.919076109835431,0.552971379721517,0.625715123110647,0.546063750109155,0.800000058150442,0.63355562839561,0.934357158047532,0.543150368530775,0.727213826309508,418.793338501751,416.637529561721,419.924029360573,420.054003376948,422.196535727827,417.946307889845,420.315018587569,418.659855268944,418.516302664761,420.549288328229,421.916346440975,1983.69908795721,1984.73642343346,1996.04545039092
1,7.25,1.10833172639259,-24.9714007301094,0.297114603884739,-0.129833783935647,-0.120176266597349,-0.183994700286517,-0.207988671415692,-0.958444493620878,0.08027032223919,-48.7632394487266,-6.3875839942551,0.309877793901367,0.82,0.5,0.27,0.13,-26.11005,-26.178,-26.0063,-26.9682,-28.8536,-30.6237,97.22969,72.5,0.1787,-24.5275,-24.7375,-24.205,-10.17,0.1,-3.175,0.5,-1.01,-1.42,188.1,201.8,251.1,251.5,0.1,-0.17,0.0175,0.01,-0.03,0.07,-0.03,-0.03,-0.14,-7.759,-7.095,-3.878,-2.394,-0.9925,0.166,0.109,-0.038,-0.037,-14.208,-12.889,-8.344,-4.932,-2.13125,-0.8115,-0.0645,-0.0645,0.139,-12.533,-11.105,-6.825,-2.952,-1.0225,-0.039,-0.008,-0.051,-0.074,-10.241,-10.026,-7.691,-5.373,-3.52225,-2.3655,-1.167,-0.608,-0.95075,-8.972,-8.449,-5.515,-0.93375,-2.71125,-1.2695,-0.03875,-0.07825,-0.1315,-13.632,-5.216,-32.5275,0.556609768140565,0.551081501339965,0.702333389791736,0.559672027778818,0.495633307457199,0.57040544120312,0.723520210859158,0.723266606035398,0.841658467206587,0.544876077278393,0.687000038490063,418.496947910689,416.78599572816,418.656791541639,420.974947365407,422.037021870054,417.909502036948,419.253147955974,419.322618674141,417.828033257556,421.626532299158,422.148501229165,1981.82525642599,1984.17164083286,1994.98472231087
1,7.75,1.06060652624,-24.6973515908597,0.290913240950344,-0.235581765161391,-0.342611202192489,-0.0683240809202816,0.236104938990674,-0.207093558117726,0.0827330644280538,-26.4163706895111,-4.31119403051407,0.284715717388553,0.78,0.48,0.28,0.14,-25.8559,-25.626,-25.6625,-26.79485,-28.447325,-30.19925,97.2529375,72.37,0.1801,-24.61,-25.1725,-23.7025,-10.3,0.1,-3.03,0.6,-0.93,-1.32,189.9,202,251.1,251.6,0.1,-0.1725,0.02,0.01,-0.03,0.08,-0.03,-0.03,-0.15,-7.778,-7.028,-3.896,-2.404,-0.993,0.166,0.1095,-0.038,-0.037,-14.195,-12.874,-8.472,-4.894,-2.12825,-0.8125,-0.0655,-0.0645,0.139,-12.66,-11.051,-6.893,-2.94175,-1.02,-0.058,-0.008,-0.05,-0.074,-10.316,-10.02325,-7.661,-5.392,-3.52475,-2.37025,-1.1585,-0.61,-0.95275,-8.979,-8.515,-5.532,-0.93425,-2.7095,-1.27025,-0.04,-0.07825,-0.1315,-12.637,-5.167,-29.73,0.59372238713562,0.606019104866596,0.935026209286667,0.6006341548034,1.04203644478812,0.629670958374601,0.735516309747053,0.606797066379579,0.851507078071821,0.476511262476696,0.714227376605463,418.144894369874,416.319440511422,419.301570769595,421.330795227329,421.264441333002,417.643440019473,421.984671828203,418.63442253472,418.295119775044,420.920259833382,421.433754647961,1982.08450215648,1985.71785335197,1995.47214501741
1,8.25,1.03488420804821,-24.9005177829528,0.264248108721506,-0.325487259713367,-0.350451625509732,-0.193807212881056,-0.141224679625731,-0.792012315253333,0.0834944463220529,-24.5734263656125,-4.10364332575824,0.306418693916186,0.72,0.5,0.2625,0.13,-26.0325,-25.686,-25.9813,-26.5471,-28.413525,-29.83525,97.288,72.39,0.178275,-25.015,-25.12,-23.77,-10.48,0.1,-2.9,0.6,-0.96,-1.41,190.1,203.3,250.8,251.8,0.1,-0.1725,0.02,0.01,-0.03,0.07,-0.03,-0.03,-0.14,-7.811,-7,-3.916,-2.414,-0.99325,0.166,0.10825,-0.0375,-0.036,-14.182,-13.084,-8.395,-4.881,-2.126,-0.81275,-0.0665,-0.0645,0.139,-12.683,-11.102,-6.8845,-2.9425,-1.0205,-0.076,-0.008,-0.051,-0.074,-10.322,-10.01325,-7.621,-5.41,-3.527,-2.3745,-1.16275,-0.60875,-0.95475,-8.986,-8.429,-5.543,-0.935,-2.7075,-1.2705,-0.042,-0.07825,-0.131,-13.5605,-4.953,-29.5,0.603360445048312,0.62662755488691,0.726294943023414,0.637327890375692,0.497993449434524,0.654467215634195,0.83813584642315,0.598018240458912,0.857299945838561,0.457560186894182,0.556277224496186,417.787836938955,415.885052847181,421.365664353516,420.018000045584,422.094660424238,417.817362483198,420.906739270827,418.879474703572,418.432886812095,420.908972958783,422.579253275274,1981.31051427425,1982.91496991668,1994.61376612616
