DOY2,HR2,CO2,FC,G_1_1_1,G_2_1_1,H,H2O,LE,LW_IN,LW_OUT,NETRAD,PA,PPFD_IN,PPFD_OUT,RH,SC,SH,SLE,SW_IN,SW_OUT,TAU,TA_1_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_6_1,T_CANOPY,T_SONIC,USTAR,U_SIGMA,VPD,V_SIGMA,WS,W_SIGMA,TA_2_1_1,TA_1_1_2,TS_1_5_1
1,0.25,386.648805,0.405240512,-9.015,-5.363,-12.299560005,3.404083144,3.431922921,259,292.1,-23.15,99.18850817,0.013,-0.001,84.1,0.002428584,-0.1503789535,-0.044232087,-0.742,0.676,-0.096971889,-5.686,-0.3,-0.033,0.833,1.8,3.15,-0.5,-0.5,0.5915,1.8165,6.5505,-4.435,-4.9318885795,0.275689701,0.723555513000236,0.626469318,0.547711028587881,3.149346758,0.315564465418112,-6.1175,-2.223785,4.083
1,0.75,383.8554992,0.4216356005,-8.98,-5.593,-10.27039616,3.3671116935,4.6558055725,259.7,291,-23.86,99.1882098,0.0105,0.0015,84.2,0.006289635,-0.169195396,-0.03828523,-0.819,0.642,-0.095497034,-5.701,-0.3085,-0.066,0.834,1.8,3.15,-0.5,-0.5,0.567,1.816,6.5575,-4.55,-5.224820115,0.266244306,0.731154180046863,0.609505698,0.568568801465575,3.010990739,0.318745806246921,-5.9085,-2.372319,4.049
1,1.25,384.26970175,0.529038689,-6.89775,-4.319,-10.88432485,3.3712740865,3.618399729,260.5,290,-24.92,99.18673284,0.008,0,84.1,-0.00012849165,-0.183511149,-0.0611958615,-0.86,0.629,-0.0953632,-5.813,-0.342,-0.033,0.8,1.815,3.15,-0.5,-0.5,0.583,1.8165,6.559,-4.6295,-5.045355853,0.272132519,0.722841349121645,0.61293814,0.552342557657836,3.018653262,0.309243030640951,-5.8215,-2.538682,4.05
1,1.75,383.81708705,0.42454706,-6.8955,-4.315,-11.30108385,3.261394427,3.8755830025,265.2,291.6,-24.1,99.190067485,0.012,0,84.8,0.0067576695,-0.142133387,-0.054495074,-0.74,0.664,-0.0814210335,-5.917,-0.3665,-0.034,0.852,1.799,3.15,-0.5,-0.5,0.567,1.817,6.541,-4.6305,-5.118314195,0.255434391,0.704127340507174,0.617433583,0.542316821477452,2.9609466245,0.292764303416144,-6.024,-2.712335,4.034
1,2.25,383.56919095,0.385762257,-6.9445,-4.289,-10.65108787,3.320492017,3.9508180075,266.3,290.5,-23.63,99.18932157,0.008,-0.001,85.15,0.0022363605,-0.160658524,-0.072284485,-0.759,0.609,-0.080448971,-5.939,-0.392,-0.049,0.817,1.816,3.15,-0.5,-0.5,0.583,1.833,6.516,-4.628,-5.430980321,0.251240311,0.686923392380839,0.575283827,0.534506127186583,2.854574717,0.297121155423171,-6.0405,-2.711667,4.049
1,2.75,383.47406975,0.424564449,-7.0145,-4.274,-11.37712849,3.273074853,3.76533411,267.2,290.75,-21.46,99.19004294,0.011,-0.001,85.3,0.0025534455,-0.1134560515,-0.032087384,-0.783,0.631,-0.087531078,-5.883,-0.4,-0.051,0.817,1.8,3.15,-0.5,-0.5,0.6,1.8165,6.5755,-4.6125,-5.369795447,0.259781116,0.738951087691195,0.572289175,0.531665649633301,2.977034123,0.302015963154268,-5.965,-2.566524,4.034
1,3.25,385.07337275,0.328067702,-7.12,-4.248,-11.29114789,3.249605898,2.946779076,266.5,290.95,-21.25,99.19100838,0.008,0,84.9,-0.0070105195,-0.0784048385,-0.030454338,-0.792,0.608,-0.089154526,-6.01,-0.4,-0.05,0.833,1.784,3.1415,-0.5,-0.5,0.6,1.834,6.558,-4.5915,-5.407901587,0.264794454,0.720606944873556,0.546628463,0.545782710426045,3.070441857,0.308285941943514,-5.9145,-2.756186,4.049
1,3.75,386.0592501,0.271547669,-7.098,-4.265,-9.995916019,3.2800164435,3.812846372,265.9,289.75,-20.16,99.13810161,0.009,-0.002,85.6,0.003767911,-0.1028686225,-0.008645908,-0.747,0.542,-0.085515573,-6.038,-0.4085,-0.083,0.817,1.8,3.15,-0.5175,-0.5,0.6,1.825,6.5415,-4.663,-5.409791325,0.259498606,0.679308386522646,0.555097014,0.532081078408169,3.04658574,0.300711778951208,-5.765,-2.782109,4
1,4.25,385.022696,0.28449473,-7.107,-4.27,-8.4363834235,3.31080713,3.9176365575,263.9,289.25,-19.55,99.15763338,0.0055,-0.002,85.55,0.0006636675,-0.1267156815,-0.031457603,-0.667,0.529,-0.09299098,-6.003,-0.4175,-0.068,0.817,1.798,3.15,-0.5665,-0.5,0.6,1.825,6.5415,-4.457,-5.579366585,0.262526014,0.728150058710428,0.522064051,0.529121310287159,2.963530398,0.312986945414661,-5.8195,-2.994578,4.033
1,4.75,384.57212575,0.31651856,-7.1085,-4.259,-7.616848962,3.388751183,3.934579721,263.9,288.75,-18.5,99.1854734,0.0085,-0.001,85.8,0.0038028695,-0.140061461,0.006705503,-0.727,0.574,-0.083008813,-6.119,-0.4665,-0.083,0.817,1.834,3.15,-0.5585,-0.5,0.6,1.8165,6.5505,-4.589,-5.534997654,0.255648642,0.699263398155516,0.5188053885,0.548437837863144,2.90547168,0.294243650738635,-6.0115,-3.366031,4
1,5.25,383.5067247,0.339730995,-7.0645,-4.259,-8.787094222,3.40012382,3.7657530815,262.7,288.75,-15.65,99.17934761,0.011,-0.001,85.85,0.0019844605,-0.170323539,-0.026377289,-0.592,0.542,-0.08126064,-6.156,-0.484,-0.067,0.8,1.8,3.15,-0.575,-0.5,0.6,1.8255,6.566,-4.9,-5.6156063785,0.249506212,0.710407695282592,0.4989800795,0.542593662816968,3.0089074905,0.291656769983887,-5.944,-3.746844,4.017
1,5.75,383.7455483,0.42289826,-7.048,-4.526,-10.57109959,3.379786513,3.3117992075,263.2,288.35,-15.75,99.1758561,0.011,0,85.5,0.010040186,-0.066506039,-0.013496823,-0.66,0.489,-0.08936082,-6.202,-0.5,-0.051,0.801,1.833,3.15,-0.5745,-0.5,0.583,1.817,6.542,-4.8775,-5.591532378,0.260329369,0.732626296279351,0.491530362,0.553395496006247,3.0610023,0.301762550691765,-5.648,-4.061871,4
